id,title,tags,language,usageCount,lastModified
snip001,Binary Search Implementation,algorithm;search;array,C++,25,2024-12-01
snip002,QuickSort Algorithm,algorithm;sorting;divide-conquer,Java,30,2024-12-02
snip003,Linked List Traversal,data-structure;linked-list;traversal,C++,15,2024-12-03
snip004,Hash Table Insert,data-structure;hash-table;insert,Python,20,2024-12-04
snip005,Dijkstra's Shortest Path,graph;algorithm;shortest-path,C++,18,2024-12-05
snip006,BFS Tree Traversal,graph;tree;traversal;search,Java,22,2024-12-06
snip007,Dynamic Programming Fibonacci,algorithm;dynamic-programming;recursion,Python,12,2024-12-07
snip008,AVL Tree Rotation,data-structure;tree;balanced-tree;rotation,C++,10,2024-12-08
snip009,Heap Sort Implementation,algorithm;sorting;heap,Java,28,2024-12-09
snip010,Trie Insert Operation,data-structure;trie;string;insert,C++,16,2024-12-10
snip011,Merge Sort Recursive,algorithm;sorting;divide-conquer;recursion,Python,24,2024-12-11
snip012,Stack Push Pop Operations,data-structure;stack;operations,Java,19,2024-12-12
snip013,DFS Graph Traversal,graph;traversal;search;depth-first,C++,21,2024-12-13
snip014,Queue Circular Implementation,data-structure;queue;circular,Python,14,2024-12-14
snip015,Binary Tree Inorder Traversal,tree;traversal;binary-tree;recursion,Java,17,2024-12-15
snip016,Pattern Matching KMP,algorithm;string;pattern-matching,C++,11,2024-12-16
snip017,Priority Queue with Heap,data-structure;heap;priority-queue,Python,23,2024-12-17
snip018,Graph Cycle Detection,graph;algorithm;cycle-detection,Java,13,2024-12-18
snip019,Red-Black Tree Insert,data-structure;tree;balanced-tree;red-black,C++,9,2024-12-19
snip020,Bubble Sort Simple,algorithm;sorting;basic,Python,26,2024-12-20
snip021,Insertion Sort Optimization,algorithm;sorting;optimization,C++,27,2024-12-21
snip022,Selection Sort Loop,algorithm;sorting;basic,Java,18,2024-12-22
snip023,Counting Sort Linear,algorithm;sorting;linear,Python,21,2024-12-23
snip024,Radix Sort Digits,algorithm;sorting;radix,C++,19,2024-12-24
snip025,Shell Sort Gap,algorithm;sorting;gap-sequence,Java,16,2024-12-25
snip026,Heap Construction,data-structure;heap;tree,Python,24,2024-12-26
snip027,Min Heap Operations,data-structure;heap;min-heap,C++,22,2024-12-27
snip028,Max Heap Priority,data-structure;heap;max-heap,Java,20,2024-12-28
snip029,Segment Tree Build,data-structure;segment-tree;range-query,Python,15,2024-12-29
snip030,Fenwick Tree Update,data-structure;fenwick-tree;binary-indexed,C++,18,2024-12-30
snip031,Union Find Disjoint Set,data-structure;union-find;disjoint-set,Java,25,2024-12-31
snip032,Graph Representation Adjacency,graph;representation;adjacency-list,Python,26,2024-01-01
snip033,Graph DFS Iterative,graph;dfs;iterative,C++,17,2024-01-02
snip034,Graph BFS Level Order,graph;bfs;level-order,Java,23,2024-01-03
snip035,Topological Sort Kahn,graph;topological-sort;kahn,Python,19,2024-01-04
snip036,Strongly Connected Components,graph;scc;kosaraju,C++,14,2024-01-05
snip037,Minimum Spanning Tree Kruskal,graph;mst;kruskal,Java,21,2024-01-06
snip038,Prim's Algorithm MST,graph;prim;mst;greedy,Python,18,2024-01-07
snip039,Floyd Warshall All Pairs,graph;shortest-path;all-pairs,C++,16,2024-01-08
snip040,Bellman Ford Negative Edge,graph;shortest-path;negative-edge,Java,12,2024-01-09
snip041,A* Search Algorithm,graph;search;heuristic,Python,20,2024-01-10
snip042,Binary Search Tree Insert,data-structure;bst;insert,C++,25,2024-01-11
snip043,BST Delete Node,data-structure;bst;delete,Java,17,2024-01-12
snip044,BST Inorder Successor,data-structure;bst;successor,Python,19,2024-01-13
snip045,BST Search Operation,data-structure;bst;search,C++,21,2024-01-14
snip046,Balanced BST Self Balancing,data-structure;bst;balanced,Java,18,2024-01-15
snip047,AVL Tree Balance Factor,data-structure;avl;balance,Python,16,2024-01-16
snip048,Splay Tree Splaying,data-structure;splay;self-adjusting,C++,13,2024-01-17
snip049,B-Tree Node Split,data-structure;b-tree;node-split,Java,15,2024-01-18
snip050,Red Black Tree Color,data-structure;red-black;color-property,Python,14,2024-01-19
snip051,Trie Search Prefix,data-structure;trie;prefix-search,C++,22,2024-01-20
snip052,Suffix Array Construction,data-structure;suffix-array;string,Java,18,2024-01-21
snip053,KMP String Matching,algorithm;string;kmp,Python,20,2024-01-22
snip054,Boyer Moore Search,algorithm;string;boyer-moore,C++,16,2024-01-23
snip055,Z Algorithm String,algorithm;string;z-algorithm,Java,17,2024-01-24
snip056,Rabin Karp Hashing,algorithm;string;rolling-hash,Python,19,2024-01-25
snip057,Aho Corasick Multiple Pattern,algorithm;string;aho-corasick,C++,14,2024-01-26
snip058,Longest Palindrome Substring,algorithm;string;palindrome,Java,21,2024-01-27
snip059,Longest Common Subsequence,algorithm;lcs;dynamic-programming,Python,23,2024-01-28
snip060,Edit Distance Levenshtein,algorithm;edit-distance;dp,C++,20,2024-01-29
snip061,Knapsack 0-1 DP,algorithm;knapsack;dynamic-programming,Java,25,2024-01-30
snip062,Unbounded Knapsack,algorithm;knapsack;unbounded,Python,18,2024-01-31
snip063,Fractional Knapsack Greedy,algorithm;knapsack;greedy,C++,19,2024-02-01
snip064,Coin Change DP,algorithm;coin-change;dynamic-programming,Java,22,2024-02-02
snip065,Subset Sum Problem,algorithm;subset-sum;dynamic-programming,Python,17,2024-02-03
snip066,Partition Equal Sum,algorithm;partition;dynamic-programming,C++,15,2024-02-04
snip067,Maximum Sum Subarray,algorithm;maximum-subarray;kadane,Java,24,2024-02-05
snip068,House Robber DP,algorithm;house-robber;dynamic-programming,Python,21,2024-02-06
snip069,Longest Increasing Subsequence,algorithm;lis;dynamic-programming,C++,19,2024-02-07
snip070,Catalan Number Recursion,algorithm;catalan;combinatorics,Java,16,2024-02-08
snip071,Matrix Chain Multiplication,algorithm;mcm;dynamic-programming,Python,18,2024-02-09
snip072,Optimal Binary Search Tree,algorithm;bst;dynamic-programming,C++,13,2024-02-10
snip073,Travelling Salesman Problem,algorithm;tsp;dynamic-programming,Java,20,2024-02-11
snip074,Graph Coloring Backtracking,algorithm;coloring;backtracking,Python,17,2024-02-12
snip075,N Queens Problem,algorithm;n-queens;backtracking,C++,22,2024-02-13
snip076,Sudoku Solver Backtrack,algorithm;sudoku;backtracking,Java,19,2024-02-14
